Referans,Değer,Açıklama,Paket,Adet,LCSC Part No,Üretici,Üretici Part No,Kategori,Tahmini Fiyat (USD)
U15,SY8088,"1.1V/2A Buck (SoC GPU/NPU)",SOT-23-6,1,C53002,Silergy,SY8088AAC,DC-DC,$0.40
L2,4.7µH,"Power Inductor 3A, shielded",4x4mm,1,C408412,Sunlord,SWPA4030S4R7MT,Inductor,$0.15
L3,2.2µH,"Power Inductor 3A, shielded",4x4mm,1,C408336,Sunlord,SWPA4030S2R2MT,Inductor,$0.15
L4,1.0µH,"Power Inductor 4A, shielded",5x5mm,1,C325819,Sunlord,SWPA5040S1R0MT,Inductor,$0.20
D2,SS54,"Schottky Diode 5A 40V (ters polarite koruması)",SMA,1,C22452,MDD,SS54,Diode,$0.05
F1,3A-PPTC,"Resettable Fuse 3A (overcurrent koruması)",1812,1,C70069,Bourns,MF-MSMF300-2,Fuse,$0.15
,,,,,,,,
"# ─── BYPASS / DECOUPLING KAPASİTÖRLER ──────────────────",,,,,,,,
C1,100nF,"Bypass Capacitor, 16V, X7R",0402,40,C307331,Samsung,CL05B104KO5NNNC,Capacitor,$0.01
C2,10µF,"Decoupling, 10V, X5R",0402,10,C15525,Samsung,CL05A106MQ5NUNC,Capacitor,$0.02
C3,1µF,"Decoupling, 16V, X7R",0402,10,C52923,Samsung,CL05B105KP5NNNC,Capacitor,$0.01
C4,22µF,"Bulk Capacitor, 16V, X5R",0805,6,C45783,Samsung,CL21A226MQQNNNE,Capacitor,$0.05
C5,100µF,"Bulk Capacitor, 16V, Polymer",SMD-6.3x5.8,4,C176671,Panasonic,16SVP100M,Capacitor,$0.30
,,,,,,,,
"# ─── DİRENÇLER ─────────────────────────────────────────",,,,,,,,
R1,10kΩ,"Pull-up / Pull-down genel",0402,20,C25744,UniOhm,0402WMF1002TCE,Resistor,$0.01
R2,4.7kΩ,"I2C Pull-up",0402,4,C25900,UniOhm,0402WMF4701TCE,Resistor,$0.01
R3,1kΩ,"LED current limiting",0402,4,C11702,UniOhm,0402WMF1001TCE,Resistor,$0.01
R4,100Ω,"Series termination",0402,8,C25076,UniOhm,0402WMF1000TCE,Resistor,$0.01
R5,0Ω,"Jumper / config",0402,4,C17168,UniOhm,0402WMF0000TCE,Resistor,$0.01
,,,,,,,,
"# ─── LED'LER ────────────────────────────────────────────",,,,,,,,
D3,LED-Red,"Güç LED kırmızı",0603,1,C2286,Hubei KENTO,KT-0603R,LED,$0.02
D4,LED-Green,"Durum LED yeşil",0603,1,C72043,Hubei KENTO,KT-0603G,LED,$0.02
D5,LED-Blue,"Bluetooth LED mavi",0603,1,C72041,Hubei KENTO,KT-0603B,LED,$0.02
,,,,,,,,
"# ─── KRİSTAL OSİLATÖRLER ───────────────────────────────",,,,,,,,
Y2,24MHz,"SoC Ana Kristal",3225,1,C13738,TXC,7B-24.000MAAJ-T,Crystal,$0.20
Y3,32.768kHz,"RTC Kristal",2012,1,C32346,TXC,9HT12-32.768KDZF-T,Crystal,$0.15
,,,,,,,,
"# ─── BUTONLAR / SWITCH ─────────────────────────────────",,,,,,,,
SW1,Reset,"Reset Butonu (gömülü, 2pin)",4.5x4.5mm,1,C318884,C&K,PTS645SL50SMTR92LFS,Tact Switch,$0.10
SW2,Power,"Power Butonu",6x6mm,1,C318884,C&K,PTS645SL50SMTR92LFS,Tact Switch,$0.10
,,,,,,,,
"# ─── SOĞUTMA ────────────────────────────────────────────",,,,,,,,
HS1,Heatsink,"SoC Heatsink (alüminyum, termal pad ile)",25x25x10mm,1,--,Generic,--,Termal,$1.00
FAN1,3010-Fan,"30mm DC Fan 5V (PWM kontrollü, opsiyonel)",30x30x10mm,1,--,Generic,--,Fan,$1.50
Q1,AO3400A,"N-CH MOSFET (Fan PWM kontrolü)",SOT-23,1,C20917,AOS,AO3400A,MOSFET,$0.05
,,,,,,,,
"# ─── OPSIYONEL: OLED/VFD EKRAN ─────────────────────────",,,,,,,,
DISP1,SSD1306,"0.96 inch OLED Ekran 128x64 (I2C)",4-pin,1,--,Generic,SSD1306-128x64,Display,$2.00
,,,,,,,,
"# ═══════════════════════════════════════════════════════════",,,,,,,,
"# ÖZET",,,,,,,,
"# Toplam Benzersiz Parça: ~55",,,,,,,,
"# Toplam Bileşen (yerleştirme): ~190",,,,,,,,
"# PCB Üretimi (6L, JLCPCB): ~$25",,,,,,,,
"# SMT Montaj (JLCPCB): ~$30",,,,,,,,
"# Tahmini Toplam BOM: ~$152",,,,,,,,
"# ═══════════════════════════════════════════════════════════",,,,,,,,
